,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
153,Dallas WCT,Dallas,Empty,1976.05.04,"$100,000",Bjorn Borg,Carpet,/en/scores/archive/dallas/610/1976/results,1976
154,Munich,Munich,Empty,1976.05.04,"$50,000",Manuel Orantes,Clay,/en/scores/archive/munich/308/1976/results,1976
155,Las Vegas,Las Vegas,Empty,1976.05.10,"$150,000",Jimmy Connors,Hard,/en/scores/archive/las-vegas/413/1976/results,1976
156,Bournemouth,Bournemouth,Empty,1976.05.10,"$75,000",Wojtek Fibak,Clay,/en/scores/archive/bournemouth/347/1976/results,1976
157,Hamburg,Hamburg,Empty,1976.05.17,"$100,000",Eddie Dibbs,Clay,/en/scores/archive/hamburg/414/1976/results,1976
158,WCT Challenge Cup,Honolulu,United States,1976.05.23,"$320,000",Ilie Nastase,Hard,/en/scores/archive/honolulu/3935/1976/results,1976
159,Rome,Rome,Empty,1976.05.24,"$150,000",Adriano Panatta,Clay,/en/scores/archive/rome/416/1976/results,1976
160,Dusseldorf,Dusseldorf,Empty,1976.05.24,"$50,000",Bjorn Borg,Clay,/en/scores/archive/dusseldorf/661/1976/results,1976
161,Roland Garros,Paris,Empty,1976.05.31,"$173,000",Adriano Panatta,Clay,/en/scores/archive/roland-garros/520/1976/results,1976
162,Nottingham,Nottingham,Empty,1976.06.15,"$100,000",Jimmy Connors,Grass,/en/scores/archive/nottingham/350/1976/results,1976
163,Berlin,Berlin,Empty,1976.06.15,"$50,000",Victor Pecci,Clay,/en/scores/archive/berlin/277/1976/results,1976
164,Berlin,Berlin,Empty,1976.06.15,"$50,000",Victor Pecci,Clay,/en/scores/archive/berlin/9240/1976/results,1976
165,Wimbledon,London,Empty,1976.06.21,"$160,000",Bjorn Borg,Grass,/en/scores/archive/wimbledon/540/1976/results,1976
166,Bastad,Bastad,Empty,1976.07.05,"$100,000",Antonio Zugarelli,Clay,/en/scores/archive/bastad/316/1976/results,1976
167,Gstaad,Gstaad,Empty,1976.07.05,"$75,000",Raul Ramirez,Clay,/en/scores/archive/gstaad/314/1976/results,1976
168,Pepsi Grand Slam,Myrtle Beach,Empty,1976.07.10,"$150,000",Ilie Nastase,Clay,/en/scores/archive/myrtle-beach/1725/1976/results,1976
169,Cincinnati,Cincinnati,Empty,1976.07.12,"$100,000",Roscoe Tanner,Clay,/en/scores/archive/cincinnati/422/1976/results,1976
170,Kitzbuhel,Kitzbuhel,Empty,1976.07.12,"$75,000",Manuel Orantes,Clay,/en/scores/archive/kitzbuhel/319/1976/results,1976
171,Hilversum,Hilversum,Empty,1976.07.13,"$50,000",Balazs Taroczy,Clay,/en/scores/archive/hilversum/317/1976/results,1976
172,Washington,Washington,Empty,1976.07.19,"$125,000",Jimmy Connors,Clay,/en/scores/archive/washington/418/1976/results,1976
173,Louisville,Louisville,Empty,1976.07.26,"$125,000",Harold Solomon,Clay,/en/scores/archive/louisville/663/1976/results,1976
174,North Conway,North Conway,Empty,1976.08.02,"$100,000",Jimmy Connors,Clay,/en/scores/archive/north-conway/705/1976/results,1976
175,Columbus,Columbus,Empty,1976.08.02,"$87,500",Roscoe Tanner,Hard,/en/scores/archive/columbus/343/1976/results,1976
176,Indianapolis,Indianapolis,Empty,1976.08.09,"$125,000",Jimmy Connors,Clay,/en/scores/archive/indianapolis/717/1976/results,1976
177,Montreal / Toronto,Montreal,Empty,1976.08.17,"$125,000",Guillermo Vilas,Clay,/en/scores/archive/montreal/421/1976/results,1976
178,Boston,Boston,Empty,1976.08.23,"$125,000",Bjorn Borg,Clay,/en/scores/archive/boston/417/1976/results,1976
179,South Orange,South Orange,Empty,1976.08.23,"$50,000",Ilie Nastase,Clay,/en/scores/archive/south-orange/707/1976/results,1976
180,US Open,New York,Empty,1976.09.01,"$217,000",Jimmy Connors,Clay,/en/scores/archive/us-open/560/1976/results,1976
181,Bermuda,Bermuda,Empty,1976.09.13,"$50,000",Cliff Richey,Clay,/en/scores/archive/bermuda/2014/1976/results,1976
182,Newport,Newport,Empty,1976.09.16,"$35,000",Vijay Amritraj,Grass,/en/scores/archive/newport/315/1976/results,1976
183,Los Angeles,Los Angeles,Empty,1976.09.20,"$125,000",Brian Gottfried,Carpet,/en/scores/archive/los-angeles/423/1976/results,1976
184,San Francisco,San Francisco,Empty,1976.09.27,"$125,000",Roscoe Tanner,Carpet,/en/scores/archive/san-francisco/424/1976/results,1976
185,Tehran,Tehran,Empty,1976.10.04,"$150,000",Manuel Orantes,Clay,/en/scores/archive/tehran/2011/1976/results,1976
186,Maui,Maui,Empty,1976.10.04,"$100,000",Harold Solomon,Hard,/en/scores/archive/maui/324/1976/results,1976
187,Aviles,Aviles,Spain,1976.10.04,"$35,000",Zeljko Franulovic,Clay,/en/scores/archive/aviles/2028/1976/results,1976
188,Madrid,Madrid,Empty,1976.10.11,"$100,000",Manuel Orantes,Clay,/en/scores/archive/madrid/2015/1976/results,1976
189,Brisbane,Brisbane,Empty,1976.10.11,"$50,000",Mark Edmondson,Grass,/en/scores/archive/brisbane/326/1976/results,1976
190,Sydney Indoor,Sydney,Empty,1976.10.18,"$125,000",Geoff Masters,Hard,/en/scores/archive/sydney/427/1976/results,1976
191,Barcelona,Barcelona,Empty,1976.10.18,"$100,000",Manuel Orantes,Clay,/en/scores/archive/barcelona/425/1976/results,1976
192,Paris Indoor,Paris,Empty,1976.10.25,"$50,000",Eddie Dibbs,Hard,/en/scores/archive/paris/7302/1976/results,1976
193,Perth,Perth,Empty,1976.10.25,"$50,000",Ray Ruffels,Carpet,/en/scores/archive/perth/243/1976/results,1976
194,Vienna,Vienna,Empty,1976.10.25,"$50,000",Wojtek Fibak,Hard,/en/scores/archive/vienna/337/1976/results,1976
