,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
235,Halle,Halle,Empty,2008.06.09,"€713,000",Roger Federer,Grass,/en/scores/archive/halle/500/2008/results,2008
236,London / Queen's Club,London,Empty,2008.06.09,"€713,000",Rafael Nadal,Grass,/en/scores/archive/london/311/2008/results,2008
237,Warsaw,Warsaw,Empty,2008.06.09,"€425,000",Nikolay Davydenko,Clay,/en/scores/archive/warsaw/475/2008/results,2008
238,s-Hertogenbosch,s-Hertogenbosch,Empty,2008.06.15,"€370,000",David Ferrer,Grass,/en/scores/archive/s-hertogenbosch/440/2008/results,2008
239,Nottingham,Nottingham,Empty,2008.06.16,"€370,000",Ivo Karlovic,Grass,/en/scores/archive/nottingham/741/2008/results,2008
240,Wimbledon,London,Empty,2008.06.23,"£5,257,000",Rafael Nadal,Grass,/en/scores/archive/wimbledon/540/2008/results,2008
241,Stuttgart,Stuttgart,Empty,2008.07.07,"€568,000",Juan Martin del Potro,Clay,/en/scores/archive/stuttgart/321/2008/results,2008
242,Gstaad,Gstaad,Empty,2008.07.07,"€389,000",Victor Hanescu,Clay,/en/scores/archive/gstaad/314/2008/results,2008
243,Newport,Newport,Empty,2008.07.07,"$385,000",Fabrice Santoro,Grass,/en/scores/archive/newport/315/2008/results,2008
244,Bastad,Bastad,Empty,2008.07.07,"€326,000",Tommy Robredo,Clay,/en/scores/archive/bastad/316/2008/results,2008
245,Kitzbühel,Kitzbhel,Empty,2008.07.14,"€571,000",Juan Martin del Potro,Clay,/en/scores/archive/kitzbhel/319/2008/results,2008
246,Indianapolis,Indianapolis,Empty,2008.07.14,"$525,000",Gilles Simon,Hard,/en/scores/archive/indianapolis/419/2008/results,2008
247,Amersfoort,Amersfoort,Empty,2008.07.14,"€326,000",Albert Montanes,Clay,/en/scores/archive/amersfoort/317/2008/results,2008
