,Home,Away,Home Score,Away Score,Tournament,Year,City,Country
395,Jack Sock,Tobias Kamke,3,1,Australian Open,2014,Melbourne,Australia
396,Dominic Thiem,Joao Sousa,3,1,Australian Open,2014,Melbourne,Australia
397,Donald Young,Robin Haase,3,1,Australian Open,2014,Melbourne,Australia
398,Dominic Thiem,Martin Klizan,2,0,Australian Open,2014,Melbourne,Australia
399,Denis Kudla,Alex Kuznetsov,2,0,Australian Open,2014,Melbourne,Australia
400,Dusan Lajovic,Tsung-Hua Yang,2,0,Australian Open,2014,Melbourne,Australia
401,Michael Berrer,Stephane Robert,2,0,Australian Open,2014,Melbourne,Australia
402,Frank Dancevic,Potito Starace,2,1,Australian Open,2014,Melbourne,Australia
403,Thomaz Bellucci,Taro Daniel,2,0,Australian Open,2014,Melbourne,Australia
404,Rhyne Williams,Thiemo de Bakker,2,1,Australian Open,2014,Melbourne,Australia
405,Ricardas Berankis,Andrej Martin,2,0,Australian Open,2014,Melbourne,Australia
406,Peter Gojowczyk,Flavio Cipolla,2,0,Australian Open,2014,Melbourne,Australia
407,Wayne Odesnik,Adrian Menendez-Maceiras,2,1,Australian Open,2014,Melbourne,Australia
408,Damir Dzumhur,Ruben Bemelmans,2,0,Australian Open,2014,Melbourne,Australia
409,Blaz Rola,Pierre-Hugues Herbert,2,0,Australian Open,2014,Melbourne,Australia
410,David Guez,Yuichi Sugita,2,1,Australian Open,2014,Melbourne,Australia
411,Vincent Millot,Marton Fucsovics,2,1,Australian Open,2014,Melbourne,Australia
412,Jimmy Wang,Daniel Kosakowski,2,0,Australian Open,2014,Melbourne,Australia
413,Ze Zhang,Illya Marchenko,2,0,Australian Open,2014,Melbourne,Australia
414,Martin Klizan,Enzo Couacaud,2,0,Australian Open,2014,Melbourne,Australia
415,Denis Kudla,John-Patrick Smith,2,0,Australian Open,2014,Melbourne,Australia
416,Dusan Lajovic,Toni Androic,2,0,Australian Open,2014,Melbourne,Australia
417,Stephane Robert,Germain Gigounon,2,0,Australian Open,2014,Melbourne,Australia
418,Frank Dancevic,Bobby Reynolds,2,1,Australian Open,2014,Melbourne,Australia
419,Adrian Menendez-Maceiras,Pere Riba,2,0,Australian Open,2014,Melbourne,Australia
420,Thomaz Bellucci,Martin Fischer,2,1,Australian Open,2014,Melbourne,Australia
421,Jimmy Wang,Paul-Henri Mathieu,2,0,Australian Open,2014,Melbourne,Australia
422,Rhyne Williams,Austin Krajicek,2,0,Australian Open,2014,Melbourne,Australia
423,Ricardas Berankis,Andre Ghem,2,0,Australian Open,2014,Melbourne,Australia
424,Blaz Rola,Rajeev Ram,2,1,Australian Open,2014,Melbourne,Australia
425,Peter Gojowczyk,Mischa Zverev,2,0,Australian Open,2014,Melbourne,Australia
426,Dominic Thiem,Matthias Bachinger,2,1,Australian Open,2014,Melbourne,Australia
427,Tsung-Hua Yang,Marius Copil,2,0,Australian Open,2014,Melbourne,Australia
428,Wayne Odesnik,Marsel Ilhan,2,0,Australian Open,2014,Melbourne,Australia
429,Alex Kuznetsov,Axel Michon,2,0,Australian Open,2014,Melbourne,Australia
430,Illya Marchenko,Peter Polansky,2,1,Australian Open,2014,Melbourne,Australia
431,Michael Berrer,Enrique Lopez Perez,2,0,Australian Open,2014,Melbourne,Australia
432,Thiemo de Bakker,Alessandro Giannessi,2,0,Australian Open,2014,Melbourne,Australia
433,Andrej Martin,Ilija Bozoljac,2,1,Australian Open,2014,Melbourne,Australia
