,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
314,Los Cabos,Los Cabos,Mexico,2019.07.29,"$858,565",Diego Schwartzman,Hard,/en/scores/archive/los-cabos/7480/2019/results,2019
315,Kitzbühel,Kitzbuhel,Austria,2019.07.29,"€586,140",Dominic Thiem,Clay,/en/scores/archive/kitzbuhel/319/2019/results,2019
316,ATP Masters 1000 Canada,Montreal,Canada,2019.08.05,"$6,338,885",Rafael Nadal,Hard,/en/scores/archive/montreal/421/2019/results,2019
317,ATP Masters 1000 Cincinnati,Cincinnati,United States,2019.08.11,"$6,735,690",Daniil Medvedev,Hard,/en/scores/archive/cincinnati/422/2019/results,2019
318,Winston-Salem,Winston-Salem,United States,2019.08.18,"$807,210",Hubert Hurkacz,Hard,/en/scores/archive/winston-salem/6242/2019/results,2019
319,US Open,New York,United States,2019.08.26,"$28,619,350",Rafael Nadal,Hard,/en/scores/archive/us-open/560/2019/results,2019
320,St. Petersburg,St. Petersburg,Russia,2019.09.15,"$1,248,665",Daniil Medvedev,Hard,/en/scores/archive/st-petersburg/568/2019/results,2019
321,Metz,Metz,France,2019.09.15,"€586,140",Jo-Wilfried Tsonga,Hard,/en/scores/archive/metz/341/2019/results,2019
322,Chengdu,Chengdu,China,2019.09.23,"$1,213,295",Pablo Carreno Busta,Hard,/en/scores/archive/chengdu/7581/2019/results,2019
323,Zhuhai,Zhuhai,China,2019.09.23,"$1,000,000",Alex de Minaur,Hard,/en/scores/archive/zhuhai/9164/2019/results,2019
324,Beijing,Beijing,China,2019.09.30,"$3,666,275",Dominic Thiem,Hard,/en/scores/archive/beijing/747/2019/results,2019
325,Tokyo,Tokyo,Japan,2019.09.30,"$2,046,340",Novak Djokovic,Hard,/en/scores/archive/tokyo/329/2019/results,2019
326,ATP Masters 1000 Shanghai,Shanghai,China,2019.10.06,"$8,322,885",Daniil Medvedev,Hard,/en/scores/archive/shanghai/5014/2019/results,2019
327,Moscow,Moscow,Russia,2019.10.14,"$922,520",Andrey Rublev,Hard,/en/scores/archive/moscow/438/2019/results,2019
328,Antwerp,Antwerp,Belgium,2019.10.14,"€711,275",Andy Murray,Hard,/en/scores/archive/antwerp/7485/2019/results,2019
329,Stockholm,Stockholm,Sweden,2019.10.14,"€711,275",Denis Shapovalov,Hard,/en/scores/archive/stockholm/429/2019/results,2019
330,Vienna,Vienna,Austria,2019.10.21,"€2,433,810",Dominic Thiem,Hard,/en/scores/archive/vienna/337/2019/results,2019
331,Basel,Basel,Switzerland,2019.10.21,"€2,219,975",Roger Federer,Hard,/en/scores/archive/basel/328/2019/results,2019
332,ATP Masters 1000 Paris,Paris,France,2019.10.28,"€5,791,280",Novak Djokovic,Hard,/en/scores/archive/paris/352/2019/results,2019
333,Next Gen ATP Finals,Milan,Italy,2019.11.05,"$1,400,000",Jannik Sinner,Hard,/en/scores/archive/next-gen-atp-finals/7696/2019/results,2019
334,Nitto ATP Finals,London,Great Britain,2019.11.10,"$9,000,000",Stefanos Tsitsipas,Hard,/en/scores/archive/nitto-atp-finals/605/2019/results,2019
