,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
183,FC Schalke 04,Borussia Mönchengladbach,1,1,Draw,last 16 1st leg,-,"Mar 9, 2017"
184,FK Krasnodar,Celta de Vigo,0,2,AwayTeam,last 16 2nd leg,Celta de Vigo,"Mar 16, 2017"
185,KRC Genk,KAA Gent,1,1,Draw,last 16 2nd leg,KRC Genk,"Mar 16, 2017"
186,Besiktas JK,Olympiacos Piraeus,4,1,HomeTeam,last 16 2nd leg,Besiktas JK,"Mar 16, 2017"
187,RSC Anderlecht,APOEL Nicosia,1,0,HomeTeam,last 16 2nd leg,RSC Anderlecht,"Mar 16, 2017"
188,AS Roma,Olympique Lyon,2,1,HomeTeam,last 16 2nd leg,Olympique Lyon,"Mar 16, 2017"
189,Borussia Mönchengladbach,FC Schalke 04,2,2,Draw,last 16 2nd leg,FC Schalke 04,"Mar 16, 2017"
190,Ajax Amsterdam,FC Copenhagen,2,0,HomeTeam,last 16 2nd leg,Ajax Amsterdam,"Mar 16, 2017"
191,Manchester United,FK Rostov,1,0,HomeTeam,last 16 2nd leg,Manchester United,"Mar 16, 2017"
192,Celta de Vigo,KRC Genk,3,2,HomeTeam,Quarter-Finals 1st leg,-,"Apr 13, 2017"
193,Ajax Amsterdam,FC Schalke 04,2,0,HomeTeam,Quarter-Finals 1st leg,-,"Apr 13, 2017"
194,RSC Anderlecht,Manchester United,1,1,Draw,Quarter-Finals 1st leg,-,"Apr 13, 2017"
195,Olympique Lyon,Besiktas JK,2,1,HomeTeam,Quarter-Finals 1st leg,-,"Apr 13, 2017"
196,Manchester United,RSC Anderlecht,2,1,HomeTeam,Quarter-Finals 2nd leg,Manchester United,"Apr 20, 2017"
197,Besiktas JK,Olympique Lyon,8,8,Draw,Quarter-Finals 2nd leg,-,"Apr 20, 2017"
198,KRC Genk,Celta de Vigo,1,1,Draw,Quarter-Finals 2nd leg,Celta de Vigo,"Apr 20, 2017"
199,FC Schalke 04,Ajax Amsterdam,3,2,HomeTeam,Quarter-Finals 2nd leg,Ajax Amsterdam,"Apr 20, 2017"
200,Ajax Amsterdam,Olympique Lyon,4,1,HomeTeam,Semi-Finals 1st Leg,-,"May 3, 2017"
201,Celta de Vigo,Manchester United,0,1,AwayTeam,Semi-Finals 1st Leg,-,"May 4, 2017"
202,Olympique Lyon,Ajax Amsterdam,3,1,HomeTeam,Semi-Finals 2nd Leg,Ajax Amsterdam,"May 11, 2017"
203,Manchester United,Celta de Vigo,1,1,Draw,Semi-Finals 2nd Leg,Manchester United,"May 11, 2017"
204,Ajax Amsterdam,Manchester United,0,2,AwayTeam,Final,Manchester United,"May 24, 2017"
