,TeamName,Country,NoPlayers,AvgAge,NoForeigners,TotalPlayersValue,Coach,AgeCouch,Stadium,StadiumCapacity
856,Varbergs BoIS,Sweden,29,"23,6",7,€2.40m,Joakim Persson,45 Years,Påskbergsvallen,4.000 Seats
857,Örgryte IS,Sweden,26,"25,6",3,€4.35m,Keith Millen,53 Years,Gamla Ullevi,18.800 Seats
858,Athletic Eskilstuna,Sweden,23,"23,2",8,€4.15m,Özcan Melkemichel,52 Years,Tunavallen,7.800 Seats
859,Trelleborgs FF,Sweden,23,"25,3",5,€3.73m,Reinhold Mielke,82 Years,Vångavallen,10.500 Seats
860,Halmstads BK,Sweden,27,"24,5",3,€3.40m,Magnus Haglund,46 Years,Örjans Vall,15.500 Seats
861,GIF Sundsvall,Sweden,19,"25,3",4,€3.25m,Henrik Ahnstrand,40 Years,Norrporten Arena,8.800 Seats
862,Östers IF,Sweden,19,"26,9",1,€3.10m,Denis Velic,37 Years,Myresjöhus Arena,12.173 Seats
863,Jönköpings Södra IF,Sweden,22,"25,5",3,€2.55m,Andreas Brännström,43 Years,Stadsparksvallen,6.295 Seats
864,GAIS Göteborg,Sweden,25,"24,8",3,€2.55m,Stefan Jacobsson,54 Years,Gamla Ullevi,18.800 Seats
865,IK Brage,Sweden,25,"25,0",6,€2.48m,Klebér Saarenpää,44 Years,Domnarvsvallen,6.500 Seats
866,Degerfors IF,Sweden,22,"24,4",2,€2.48m,Tobias Solberg,38 Years,Stora Valla,12.500 Seats
867,Norrby IF,Sweden,25,"24,3",4,€2.13m,Mak Lind,32 Years,Borås Arena,16.894 Seats
868,Ljungskile SK,Sweden,24,"25,5",1,€1.55m,Jörgen Walemark,48 Years,Starke Arvid Arena,8.000 Seats
869,Dalkurd FF,Sweden,26,"23,0",9,€1.20m,Paul Olausson,46 Years,Gavlevallen,6.500 Seats
870,Akropolis IF,Sweden,31,"25,0",1,€1.20m,Giannis Christopoulos,47 Years,Spånga IP,0 Seats
871,Umeå FC,Sweden,24,"24,9",9,€1.15m,Brian Clarhaut,33 Years,Umea Energi Arena SOL,9.000 Seats
872,Västerås SK,Sweden,25,"25,7",3,€950k,Thomas Askebrand,52 Years,Solid Park Arena,7.044 Seats
873,BSC Young Boys,Switzerland,26,"25,5",10,€54.20m,Gerardo Seoane,41 Years,Stade de Suisse,31.783 Seats
874,FC Basel 1893,Switzerland,27,"24,3",12,€43.00m,Marcel Koller,59 Years,St. Jakob-Park,38.512 Seats
875,FC Zürich,Switzerland,27,"25,2",15,€25.43m,Ludovic Magnin,40 Years,Stadion Letzigrund,26.104 Seats
876,FC Luzern,Switzerland,26,"24,6",12,€21.68m,Fabio Celestini,44 Years,swissporarena,17.000 Seats
877,FC St. Gallen 1879,Switzerland,30,"23,6",14,€19.05m,Peter Zeidler,57 Years,kybunpark,19.568 Seats
878,FC Thun,Switzerland,30,"25,2",6,€17.20m,Marc Schneider,39 Years,Stockhorn Arena,10.398 Seats
879,FC Sion,Switzerland,28,"22,5",19,€16.10m,Ricardo Dionisio,37 Years,Tourbillon,14.850 Seats
880,FC Lugano,Switzerland,27,"26,4",13,€14.70m,Maurizio Jacobacci,57 Years,Stadio di Cornaredo,6.390 Seats
881,Servette FC,Switzerland,27,"26,0",14,€13.75m,Alain Geiger,59 Years,Stade de Genève,30.084 Seats
882,Neuchâtel Xamax FCS,Switzerland,26,"27,2",8,€8.53m,Joël Magnin,48 Years,Stade de la Maladière,12.500 Seats
883,FC Lausanne-Sport,Switzerland,24,"26,1",9,€10.18m,Giorgio Contini,46 Years,Stade Olympique de la Pontaise,15.850 Seats
884,Grasshopper Club Zurich,Switzerland,28,"23,3",11,€8.73m,Goran Djuricin,45 Years,Letzigrund,26.500 Seats
885,FC Wil 1900,Switzerland,26,"23,1",7,€7.00m,Ciriaco Sforza,50 Years,IGP Arena,6.000 Seats
886,FC Winterthur,Switzerland,26,"24,6",9,€6.85m,Ralf Loose,57 Years,Schützenwiese,9.400 Seats
887,FC Chiasso,Switzerland,29,"23,1",13,€6.58m,Alessandro Lupi,49 Years,Stadio Comunale,5.000 Seats
888,FC Schaffhausen,Switzerland,26,"24,3",15,€6.45m,Murat Yakin,45 Years,LIPO Park,8.085 Seats
889,FC Aarau,Switzerland,25,"25,0",10,€6.08m,Patrick Rahmen,51 Years,Stadion Brügglifeld,8.000 Seats
890,FC Vaduz,Switzerland,24,"25,3",16,€5.35m,Mario Frick,45 Years,Rheinpark Stadion,6.441 Seats
891,SC Kriens,Switzerland,25,"25,2",5,€4.75m,Bruno Berner,42 Years,Kleinfeld,5.100 Seats
892,FC Stade-Lausanne-Ouchy,Switzerland,25,"27,2",14,€3.95m,Andrea Binotto,49 Years,Centre sportif de Colovray,7.200 Seats
893,Galatasaray SK,Turkey,28,"27,8",17,€83.45m,Fatih Terim,66 Years,Ali Sami Yen Spor Kompleksi Türk Telekom Stadyumu,52.223 Seats
894,Trabzonspor,Turkey,28,"25,6",12,€73.53m,Hüseyin Cimsir,40 Years,Şenol Güneş Spor Kompleksi,40.782 Seats
895,Fenerbahce SK,Turkey,29,"27,3",12,€65.93m,Zeki Murat Göle,40 Years,Ülker Stadyumu FB Şükrü Saraçoğlu Spor Kompleksi,47.834 Seats
896,Besiktas JK,Turkey,26,"27,4",14,€57.83m,Sergen Yalcin,47 Years,Vodafone Park,41.188 Seats
897,Istanbul Basaksehir FK,Turkey,24,"29,8",15,€48.20m,Okan Buruk,46 Years,Başakşehir Fatih Terim,17.156 Seats
898,Sivasspor,Turkey,27,"28,9",13,€26.40m,Riza Calimbay,57 Years,Yeni 4 Eylül Stadı,27.532 Seats
899,Kasimpasa,Turkey,31,"26,2",17,€25.03m,Fuat Capa,51 Years,Recep Tayyip Erdogan Stadyumu,13.856 Seats
900,Alanyaspor,Turkey,26,"29,4",14,€20.13m,Erol Bulut,45 Years,Bahçeşehir Okulları Stadyumu,10.128 Seats
901,Gaziantep FK,Turkey,27,"28,3",14,€19.20m,Marius Sumudica,49 Years,Kalyon Stadyumu,33.502 Seats
902,Caykur Rizespor,Turkey,29,"25,8",16,€18.93m,Ünal Karaman,53 Years,Çaykur Didi,15.332 Seats
903,Yeni Malatyaspor,Turkey,29,"27,7",15,€17.18m,Hikmet Karaman,60 Years,Yeni Malatya Stadyumu,25.745 Seats
904,Konyaspor,Turkey,28,"27,6",15,€17.13m,Bülent Korkmaz,51 Years,Konya Büyükşehir Belediye Stadyumu,42.000 Seats
905,Antalyaspor,Turkey,29,"28,7",14,€16.75m,Tamer Tuna,43 Years,Antalya Stadyumu,32.537 Seats
906,Kayserispor,Turkey,34,"26,4",15,€15.50m,Robert Prosinecki,51 Years,Büyüksehir Belediyesi Kadir Has,32.864 Seats
907,Denizlispor,Turkey,27,"27,4",13,€15.13m,Bülent Uygun,48 Years,Denizli Atatürk Stadı,14.979 Seats
908,Göztepe,Turkey,29,"28,0",13,€14.55m,Ilhan Palut,43 Years,Gürsel Aksel Stadyumu,19.713 Seats
909,Genclerbirligi Ankara,Turkey,31,"27,5",16,€13.53m,Hamza Hamzaoglu,49 Years,Eryaman Stadyumu,20.560 Seats
910,MKE Ankaragücü,Turkey,32,"27,3",15,€10.83m,Mustafa Resit Akcay,61 Years,Eryaman Stadyumu,20.560 Seats
911,Hatayspor,Turkey,25,"28,0",8,€8.00m,Mehmet Altiparmak,50 Years,Antakya Atatürk Stadyumu,6.150 Seats
912,Bursaspor,Turkey,28,"26,6",6,€7.83m,Ibrahim Üzülmez,46 Years,Bursa Büyükşehir Belediye Stadyumu,43.331 Seats
913,Büyüksehir Belediye Erzurumspor,Turkey,27,"28,5",8,€7.40m,Mehmet Özdilek,54 Years,Erzurum Kazım Karabekir,23.700 Seats
914,Altinordu FK,Turkey,24,"24,1",4,€7.03m,Hüseyin Eroglu,47 Years,Bornova Stadı,6.041 Seats
915,Fatih Karagümrük,Turkey,30,"28,1",12,€6.93m,Ömer Erdogan,42 Years,Vefa Stadı,6.500 Seats
916,Adana Demirspor,Turkey,33,"27,2",14,€6.75m,Cüneyt Dumlupinar,39 Years,5 Ocak Fatih Terim,16.095 Seats
917,Akhisarspor,Turkey,26,"29,3",8,€5.35m,Yilmaz Vural,67 Years,Spor Toto Akhisar Stadyumu,12.139 Seats
918,Ümraniyespor,Turkey,26,"26,1",10,€5.33m,Sait Karafirtinalar,51 Years,Ümraniye Belediyesi Şehir Stadı,2.500 Seats
919,Adanaspor,Turkey,36,"24,4",15,€4.80m,Coskun Demirbakan,65 Years,5 Ocak Fatih Terim,16.095 Seats
920,Istanbulspor,Turkey,28,"25,1",6,€4.73m,Fatih Tekke,42 Years,Esenyurt Necmi Kadıoğlu Stadyumu,7.500 Seats
921,Altay SK,Turkey,30,"28,9",10,€4.10m,Yalcin Kosukavak,47 Years,İzmir Atatürk,51.295 Seats
922,Boluspor,Turkey,30,"25,7",9,€4.03m,Firat Gül,35 Years,Bolu Atatürk,8.881 Seats
923,Osmanlispor FK,Turkey,28,"22,4",4,€3.93m,Ismet Tasdemir,46 Years,Osmanlı Stadı,19.626 Seats
924,Menemen Spor,Turkey,27,"25,6",9,€3.45m,Cenk Laleci,38 Years,Menemen İlçe Stadı,5.000 Seats
925,Keciörengücü,Turkey,22,"27,4",7,€3.30m,Serkan Özbalta,41 Years,Ankara Aktepe,4.883 Seats
926,Balikesirspor,Turkey,27,"24,8",8,€3.00m,Yusuf Simsek,44 Years,Balıkesir Atatürk,15.800 Seats
927,Giresunspor,Turkey,28,"29,0",7,€2.83m,Hakan Kutlu,48 Years,Giresun Atatürk,12.191 Seats
928,Eskisehirspor,Turkey,23,"23,4",1,€2.33m,Mustafa Özer,50 Years,Eskişehir Yeni Stadyum,34.930 Seats
929,Shakhtar Donetsk,Ukraine,31,"25,5",14,€150.60m,Luís Castro,58 Years,OSK Metalist,38.685 Seats
930,Dynamo Kyiv,Ukraine,26,"24,8",9,€89.85m,Oleksiy Mykhaylychenko,57 Years,NSK Olimpisky,70.050 Seats
931,Zorya Lugansk,Ukraine,24,"25,5",6,€17.60m,Viktor Skripnik,50 Years,Slavutych Arena,11.883 Seats
932,FK Oleksandriya,Ukraine,28,"27,0",3,€14.05m,Volodymyr Sharan,48 Years,KSK Nika,7.000 Seats
933,SK Dnipro-1,Ukraine,23,"26,8",3,€11.90m,Dmytro Mykhaylenko,46 Years,Dnipro-Arena,31.003 Seats
934,Desna Chernigiv,Ukraine,22,"28,5",1,€11.40m,Oleksandr Ryabokon,56 Years,Stadion im. Yuriya Gagarina,12.000 Seats
935,FK Mariupol,Ukraine,26,"24,6",1,€10.95m,Oleksandr Babych,41 Years,Stadion im. Volodymyra Boyko,12.680 Seats
936,Vorskla Poltava,Ukraine,29,"25,7",8,€10.43m,Yuriy Maksimov,51 Years,Stadion im. Vorskla Oleksiya Butovsky,24.795 Seats
937,Olimpik Donetsk,Ukraine,26,"24,9",6,€8.85m,Igor Klymovskyi,47 Years,Stadion im. Valeriya Lobanovskogo,16.873 Seats
938,Kolos Kovalivka,Ukraine,29,"26,7",2,€7.90m,Ruslan Kostyshin,43 Years,Obolon,5.100 Seats
939,PFK Lviv,Ukraine,25,"24,7",9,€6.43m,Eghishe Melikyan,40 Years,Ukraina,28.051 Seats
940,Karpaty Lviv,Ukraine,26,"22,8",8,€6.05m,Roman Sanzhar,40 Years,Ukraina,28.051 Seats
941,Rukh Lviv,Ukraine,27,"25,3",3,€4.63m,Yurii Bakalov,54 Years,Stadion Skif,7.000 Seats
942,Ingulets Petrove,Ukraine,25,"28,3",2,€4.18m,Serhii Lavrynenko,45 Years,Stadion Inhulets,1.720 Seats
943,Obolon-Brovar Kyiv,Ukraine,30,"26,3",1,€3.55m,Oleg Mazurenko,42 Years,Obolon,5.100 Seats
944,Metalist 1925 Kharkiv,Ukraine,27,"24,5",3,€3.45m,Andrey Demchenko,43 Years,OSK Metalist,38.685 Seats
945,Volyn Lutsk,Ukraine,20,"27,0",1,€3.43m,Andrii Tlumak,41 Years,Stadion Avanhard,12.080 Seats
946,Chornomorets Odessa,Ukraine,22,"24,7",0,€2.98m,Ostap Markevych,42 Years,Chornomorets,34.164 Seats
947,Avangard Kramatorsk,Ukraine,21,"26,1",1,€2.80m,Oleksandr Kosevych,54 Years,Stadion Prapor,4.000 Seats
948,FK Minaj,Ukraine,28,"26,2",3,€2.78m,Vasyl Kobin,34 Years,Stadion Minaj,2.000 Seats
949,Agrobiznes Volochysk,Ukraine,23,"24,7",1,€2.48m,Oleksandr Chyzhevskyi,48 Years,Stadion Yunist,3.500 Seats
950,Girnyk-Sport Gorishni Plavni,Ukraine,24,"26,9",0,€1.93m,Igor Zhabchenko,51 Years,Yunist,2.500 Seats
951,MFK Metalurg Zaporizhya,Ukraine,25,"24,1",0,€1.63m,Viktor Kanevskyi,-,Slavutych Arena,11.883 Seats
952,Balkany Zorya,Ukraine,23,"25,9",3,€1.60m,Andrii Parkhomenko,48 Years,Stadion im. Borysa Tropantsa,1.600 Seats
953,MFK Mykolaiv,Ukraine,16,"26,1",0,€1.53m,Illya Blyznyuk,46 Years,Zentralstadion Mykolaiv,15.600 Seats
954,PFK Prykarpattya Ivano-Frankivsk,Ukraine,20,"25,4",0,€1.23m,Volodymyr Kovaliuk,48 Years,MCS Rukh,6.500 Seats
955,Kremin Kremenchuk,Ukraine,19,"23,7",0,€400k,Serhii Svystun,58 Years,Kremin,1.500 Seats
