,FootballTeam,Country,City,Stadium,Capacity
258,Fortuna Sittard,Netherlands,Sittard,Fortuna Sittard Stadion,"12,800"
259,FC Utrecht,Netherlands,Utrecht,Stadion Galgenwaard,"24,500"
260,ADO Den Haag,Netherlands,The Hague,Cars Jeans Stadion,"15,000"
261,Willem II,Netherlands,Tilburg,Willem II Stadion,"14,500"
262,VVV Venlo,Netherlands,Venlo,Covebo Stadion De Koel -,"8,000"
263,PEC Zwolle,Netherlands,Zwolle,MAC3PARK Stadion,"13,100"
264,Aalesunds FK,Norway,Alesund,Color Line Stadion,"10,778"
265,SK Brann,Norway,Bergen,Brann Stadion,"17,967"
266,FK Haugesund,Norway,Haugesund,Haugesund Stadion,"8,754"
267,Molde FK,Norway,Molde,Aker Stadion,"11,800"
268,Valerenga IF,Norway,Oslo,Ullevaal Stadion,"25,572"
269,ODD Grenland,Norway,Skien,Skagerak Arena,"13,500"
270,Tromso IL,Norway,Tromso,Alfheim Stadion,"6,859"
271,Rosenborg BK,Norway,Trondheim,Lerkendal Stadion,"21,166"
272,Jagiellonia Bialystok,Poland,Bialystok,Stadion Miejski w Bialymstoku,"22,372"
273,TS Podbeskidzie,Poland,Bielsko-Biala,Stadion Miejski w Bielsku-Bialej,"15,316"
274,Lechia Gdansk,Poland,Gdansk,Stadion Energa Gdansk,"42,105"
275,Arka Gdynia,Poland,Gdynia,Stadion Miejski w Gdyni,"15,139"
276,Piast Gliwice,Poland,Gliwice,Stadion Miejski w Gliwicach,"9,913"
277,Korona Kielce,Poland,Kielce,Stadion Miejski w Kielcach,"15,500"
278,MKS Cracovia,Poland,Krakow,Stadion Cracovii,"15,016"
279,Wisla Krakow,Poland,Krakow,Stadion Miejski im. Henryka Reymana,"32,804"
280,Zaglebia Lubin,Poland,Lubin,Stadion Zaglebia Lubin,"16,068"
281,Motor Lublin,Poland,Lublin,Arena Lublin,"15,400"
282,Lech Poznan,Poland,Poznan,INEA Stadion,"43,269"
283,Pogon Szczecin,Poland,Szczecin,Stadion Miejski im. Floriana Krygiera,"18,027"
284,Legia Warsaw,Poland,Warsaw,Stadion Miejski Legii Warszawa,"31,000"
285,--,Poland,Warsaw,Stadion Narodowy w Warszawie,"58,145"
286,Slask Wroclaw,Poland,Wroclaw,Stadion Miejski w Wroclawiu,"44,901"
287,Gornik Zabrze,Poland,Zabrze,Arena Zabrze,"24,413"
288,--,Portugal,Aveiro,Estadio Municipal de Aveiro,"32,830"
289,SC Braga,Portugal,Braga,Estadio Municipal de Braga,"30,154"
290,Academica de Coimbra,Portugal,Coimbra,Estadio EFAPEL Cidade de Coimbra,"29,622"
291,--,Portugal,Cruz Quebrada,Estadio Nacional,"37,500"
292,--,Portugal,Faro-Loule,Estadio Algarve,"30,305"
293,CS Maritimo,Portugal,Funchal,Estadio do Maritimo,"10,600"
294,Vitoria SC,Portugal,Guimaraes,Estadio D. Afonso Henriques,"30,000"
295,--,Portugal,Leiria,Estadio Municipal de Leiria,"23,164"
296,Os Belenenses,Portugal,Lisbon,Estadio do Restelo,"25,000"
297,SL Benfica,Portugal,Lisbon,Estadio da Luz,"64,400"
298,Sporting Clube do Portugal,Portugal,Lisbon,Estadio Jose Alvalade,"50,049"
299,Moreirense FC,Portugal,Moreira de Conegos,Estádio Com. Joaq. de Almeida Freitas,"6,153"
300,Boavista FC,Portugal,Porto,Estadio do Bessa XXI,"28,263"
301,FC Porto,Portugal,Porto,Estadio do Dragao,"50,431"
302,CD Aves,Portugal,Vila das Aves,Estadio do CD Aves,"5,441"
303,Rapid Bucharest,Romania,Bucharest,Stadionul Giulesti-Valentin Stanescu,"19,100"
304,Steaua Bucharest,Romania,Bucharest,Stadionul Steaua,"28,000"
305,Dinamo Bucharest Steaua Bucharest,Romania,Bucharest,Arena Nationala,"55,634"
306,CFR 1907 Cluj,Romania,Cluj-Napoca,Stadionul Dr. Constantin Radulescu,"23,500"
307,Universitatea Cluj,Romania,Cluj-Napoca,Cluj Arena,"30,020"
308,Universitatea Craiova,Romania,Craiova,Stadion Ion Oblemenco,"30,944"
309,Juventus Bucuresti Petrolul Ploiesti,Romania,Ploiesti,Stadionul Ilie Oana,"15,500"
